"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-05-24",-1,12.9826331985344,"hold",14.8231918335838,16.988950010277,"hold",0,"0",13.2615594602883,13.1137709076105,13.2812646006453,12.9265720742186,26604428.6161448,"hold","hold",11.8935768525633,14.8231918335838,17.7528068146042,0.208251606943609,21.4032402151981,23.678938113761,"buy"
"2012-05-25",5,13.7073882608663,"hold",14.6409192852811,16.8667173231483,"buy",0,"3",13.0250977760038,13.0546554865394,13.2122966093957,12.9758349251112,16876510.0869317,"hold","hold",11.7476973314182,14.6409192852811,17.5341412391441,0.225865518781952,17.3859480460998,23.3064515192267,"buy"
"2012-05-29",-5,12.7669604373266,"hold",14.4616025080321,16.7517766876098,"sell",3,"-4",13.2221491795742,13.4389057235016,13.4586108638587,13.0743606268964,18863402.810891,"hold","hold",11.742395950132,14.4616025080321,17.1808090659322,0.311949411941662,21.9627608222528,30.9138703667709,"hold"
"2012-05-30",-1,12.7680442200462,"hold",14.2448459641046,16.6155849664261,"hold",-4,"2",13.1137709076105,12.897014363683,13.1630337585031,12.877309223326,25188046.9261749,"hold","hold",11.762799125089,14.2448459641046,16.7268928031202,0.228483850660101,22.6060449674152,26.866504802491,"buy"
"2012-05-31",-5,12.5048820705779,"hold",14.0679923294002,16.4778369530312,"sell",2,"-5",12.9265720742186,13.1630337585031,13.2812646006453,12.7098155302911,29468655.8673775,"hold","hold",11.8176922616299,14.0679923294002,16.3182923971705,0.298924911424421,22.7689018182288,31.6008050684514,"hold"
"2012-06-01",5,13.1694379291191,"hold",13.8955723512761,16.334551381319,"sell",-5,"-3",12.7787835215408,12.5423218372563,12.8280463724334,12.4437961354711,32227631.3943179,"hold","hold",11.7343013191941,13.8955723512761,16.0568433833581,0.186931788301406,24.4146298404502,27.179570758457,"buy"
"2012-06-04",5,12.7866655776836,"hold",13.716255574027,16.1932093066764,"buy",-3,"4",12.5718795477919,12.1777767406511,12.6112898285059,12.0792510388659,24090668.2925701,"hold","hold",11.6104658166143,13.716255574027,15.8220453314397,0.13470265064206,25.2207141356295,24.9699912537364,"buy"
"2012-06-05",5,13.3039255120559,"hold",13.5541807945903,16.047180535699,"buy",4,"8",12.1186613195799,12.6704052495771,12.7590783811838,12.1088087494014,25642750.614535,"hold","hold",11.6610705176062,13.5541807945903,15.4472910715745,0.26658107143627,31.6025720506817,32.9076595250278,"hold"
"2012-06-06",-5,13.0477586874144,"hold",13.4605813778944,15.9059292840487,"sell",8,"-4",12.9659823549327,13.7344828288573,13.7837456797499,12.857604082969,39631384.798585,"hold","hold",11.8134791554314,13.4605813778944,15.1076836003573,0.583146463901096,41.2249685137585,46.1577680925457,"hold"
"2012-06-07",-0.5,13.1462351263487,"hold",13.3581146480378,15.763075753862,"hold",-4,"2",14.0103547938558,13.2122966093957,14.0596176447484,13.1925914690386,43456478.0805554,"sell","hold",11.9317482937859,13.3581146480378,14.7844810022897,0.448884787485548,50.8917033747921,41.7954957750497,"hold"
"2012-06-08",-1,13.3727949776038,"hold",13.2650078598508,15.6355646413586,"hold",2,"-2",13.123623477789,13.5078737147513,13.5571365656439,12.9561297847542,20715406.8737274,"hold","hold",12.1719447901393,13.2650078598508,14.3580709295622,0.611094163562141,53.0392454955562,44.9660054123297,"hold"
"2012-06-11",4,13.6998017818289,"hold",13.1871725554405,15.511177609859,"buy",-2,"4",13.862566241178,13.1728863286816,14.0103547938558,13.1334760479675,23913049.6643044,"sell","hold",12.3250535228961,13.1871725554405,14.0492915879848,0.491714469684833,60.0703714394678,42.1628644537556,"hold"
"2012-06-12",-1,13.5873839560919,"hold",13.1689453006102,15.3997902227045,"hold",4,"-2",13.3206748813594,13.7246302586787,13.7738931095713,13.1827388988601,27390923.9021052,"hold","hold",12.3708408955543,13.1689453006102,13.967049705666,0.848127985855219,59.2092432172837,47.9214199502257,"hold"
"2012-06-13",-1,13.3142707107434,"hold",13.1448065036728,15.2795452944834,"hold",-2,"2",13.5768417060009,13.4487582936802,13.9118290920706,13.350232591895,33179768.7381809,"hold","hold",12.4140598979802,13.1448065036728,13.8755531093654,0.707973453204932,70.0394963986795,45.4829889797219,"hold"
"2012-06-14",4,14.2736154690259,"hold",13.1640190155209,15.1734627748405,"buy",2,"3",13.4586108638587,13.7246302586787,13.8133033902854,13.3403800217164,20609850.660358,"hold","hold",12.3945364384166,13.1640190155209,13.9335015926252,0.86427806154331,69.6349137590686,48.3152167099213,"hold"
"2012-06-15",-4,13.5256083410726,"hold",13.2053998102707,15.0880315641961,"sell",3,"-3",13.7837456797499,14.089175355284,14.089175355284,13.4980211445728,29239883.0741713,"hold","hold",12.3367606569405,13.2053998102707,14.0740389636009,1.00871270401813,74.9509479643982,51.8732579137617,"hold"
